Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Tarkarli Beach,Sindhudurg,February,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,High
Panchgani,Satara,November,Post-Monsoon,No,Clear,Medium,Students,No,Low,Low,Low
Shirdi,Ahmednagar,August,Monsoon,No,Humid,Low,Students,Yes,Low,Medium,Medium
Daulatabad Fort,Aurangabad,April,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,High
Matheran,Raigad,May,Summer,Yes,Hot,Medium,Foreign Tourists,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,April,Summer,No,Hot,Low,Families,No,Medium,Low,Low
Panchgani,Satara,May,Summer,Yes,Humid,High,Couples,No,High,Low,Low
Ajanta Caves,Aurangabad,February,Winter,Yes,Cool,High,Couples,Yes,Medium,High,High
Ellora Caves,Aurangabad,May,Summer,No,Hot,Low,Students,Yes,Medium,Low,Low
Shani Shingnapur,Ahmednagar,June,Monsoon,No,Rainy,Low,Students,No,Low,High,Medium
Ajanta Caves,Aurangabad,March,Summer,No,Hot,Low,Foreign Tourists,Yes,Medium,Low,High
Shani Shingnapur,Ahmednagar,July,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,High
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Medium,Medium,Medium
Ajanta Caves,Aurangabad,February,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Medium
Tarkarli Beach,Sindhudurg,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Low
Raigad Fort,Raigad,June,Monsoon,No,Humid,Medium,Couples,Yes,Low,Low,Medium
Khandala,Pune,December,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Low
Shirdi,Ahmednagar,July,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,Medium
Pratapgad Fort,Satara,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Ellora Caves,Aurangabad,April,Summer,No,Humid,Low,Students,Yes,Medium,Low,Low
Khandala,Pune,August,Monsoon,No,Rainy,High,Students,No,Low,High,Low
Aga Khan Palace,Pune,August,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,Low
Aga Khan Palace,Pune,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Low
Bhimashankar Temple,Pune,November,Post-Monsoon,Yes,Pleasant,High,Students,No,Low,High,High
Sindhudurg Fort,Sindhudurg,July,Monsoon,Yes,Rainy,Medium,Students,No,Low,Low,Medium
Khandala,Pune,October,Post-Monsoon,Yes,Clear,High,Couples,Yes,Medium,Low,Medium
Matheran,Raigad,December,Winter,Yes,Pleasant,High,Students,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,Yes,Pleasant,High,Couples,Yes,Medium,High,High
Ellora Caves,Aurangabad,May,Summer,No,Warm,Low,Couples,Yes,Medium,Low,Medium
Daulatabad Fort,Aurangabad,August,Monsoon,Yes,Rainy,Medium,Students,Yes,Low,Low,High
Ajanta Caves,Aurangabad,October,Post-Monsoon,Yes,Clear,High,Foreign Tourists,Yes,Medium,High,High
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,Low
Khandala,Pune,July,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Low,Low,High
Lonavala,Pune,September,Monsoon,No,Rainy,High,Couples,No,Medium,Medium,Medium
Pratapgad Fort,Satara,December,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Kaas Plateau,Satara,May,Summer,No,Warm,Low,Solo Travelers,No,Medium,Medium,Low
Khandala,Pune,June,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,December,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Low
Sindhudurg Fort,Sindhudurg,December,Winter,No,Pleasant,Medium,Students,Yes,Low,Low,Medium
Kaas Plateau,Satara,June,Monsoon,No,Humid,Low,Couples,No,Low,Low,Medium
Shirdi,Ahmednagar,May,Summer,Yes,Humid,High,Students,No,High,High,High
Raigad Fort,Raigad,December,Winter,No,Cool,Medium,Students,No,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,Low
Bhimashankar Temple,Pune,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,High,Medium
Shani Shingnapur,Ahmednagar,February,Winter,No,Pleasant,Medium,Families,No,Low,High,High
Shani Shingnapur,Ahmednagar,September,Monsoon,No,Humid,Low,Couples,No,Low,High,Medium
Kaas Plateau,Satara,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,High,Low,Low
Daulatabad Fort,Aurangabad,March,Summer,Yes,Warm,Medium,Foreign Tourists,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,May,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,Low
Raigad Fort,Raigad,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Shirdi,Ahmednagar,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,High,Low
Bhimashankar Temple,Pune,August,Monsoon,Yes,Rainy,Medium,Families,No,Medium,High,High
Kaas Plateau,Satara,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Medium,Low,Low
Pratapgad Fort,Satara,May,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,Medium
Elephanta Caves,Mumbai,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,High
Pratapgad Fort,Satara,February,Winter,No,Cool,Medium,Solo Travelers,No,Medium,Low,Medium
Panchgani,Satara,January,Winter,Yes,Cool,High,Students,No,Medium,Low,Medium
Matheran,Raigad,March,Summer,No,Warm,Low,Solo Travelers,No,Medium,High,High
Matheran,Raigad,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,High,Low
Shirdi,Ahmednagar,September,Monsoon,No,Rainy,Low,Couples,No,Low,High,High
Tarkarli Beach,Sindhudurg,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Shirdi,Ahmednagar,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,High,Medium
Raigad Fort,Raigad,December,Winter,Yes,Pleasant,High,Couples,Yes,Medium,Low,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Humid,Low,Families,No,Medium,High,Low
Trimbakeshwar Temple,Nashik,July,Monsoon,Yes,Humid,Low,Solo Travelers,No,Medium,High,Medium
Elephanta Caves,Mumbai,November,Post-Monsoon,No,Clear,Medium,Students,Yes,High,Low,Low
Daulatabad Fort,Aurangabad,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,High,Medium
Ellora Caves,Aurangabad,May,Summer,No,Hot,Low,Students,Yes,Low,Low,High
Tarkarli Beach,Sindhudurg,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Low
Ajanta Caves,Aurangabad,August,Monsoon,No,Humid,Low,Couples,No,Low,Low,Low
Mahabaleshwar,Satara,August,Monsoon,No,Humid,High,Solo Travelers,No,Low,Low,Medium
Shirdi,Ahmednagar,January,Winter,No,Cool,Medium,Solo Travelers,No,Low,High,Low
Bhimashankar Temple,Pune,May,Summer,Yes,Humid,Medium,Students,No,High,High,Low
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,High,Medium
Panchgani,Satara,March,Summer,Yes,Warm,Low,Couples,No,High,Low,Medium
Elephanta Caves,Mumbai,February,Winter,No,Pleasant,Medium,Solo Travelers,Yes,High,Low,Medium
Daulatabad Fort,Aurangabad,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,August,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Low
Shirdi,Ahmednagar,November,Post-Monsoon,No,Pleasant,High,Students,No,Low,High,Low
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Rainy,Low,Couples,No,Low,High,Low
Shani Shingnapur,Ahmednagar,August,Monsoon,No,Humid,Low,Students,No,Low,High,Medium
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,High,Medium
Daulatabad Fort,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Medium,High
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,High
Trimbakeshwar Temple,Nashik,September,Monsoon,No,Rainy,Low,Solo Travelers,No,High,Low,Medium
Ajanta Caves,Aurangabad,March,Summer,No,Warm,Medium,Solo Travelers,Yes,Medium,Low,Low
Shani Shingnapur,Ahmednagar,August,Monsoon,Yes,Rainy,Medium,Couples,No,Low,High,Medium
Panchgani,Satara,November,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,High,High
Mahabaleshwar,Satara,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Low
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,High,Low
Shani Shingnapur,Ahmednagar,June,Monsoon,No,Humid,Low,Families,No,Low,High,High
Daulatabad Fort,Aurangabad,February,Winter,No,Pleasant,Low,Families,No,Low,Low,Medium
Lonavala,Pune,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Low
Aga Khan Palace,Pune,April,Summer,Yes,Humid,Medium,Students,No,High,Medium,Medium
Matheran,Raigad,October,Post-Monsoon,Yes,Clear,High,Foreign Tourists,Yes,Medium,Low,Medium
Ajanta Caves,Aurangabad,March,Summer,Yes,Warm,Medium,Couples,No,High,High,Medium
Elephanta Caves,Mumbai,March,Summer,No,Hot,Low,Students,Yes,Medium,Low,High
Tarkarli Beach,Sindhudurg,January,Winter,Yes,Pleasant,High,Students,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,June,Monsoon,No,Rainy,Medium,Families,No,Low,High,High
Shirdi,Ahmednagar,April,Summer,Yes,Hot,Medium,Students,No,High,Low,Medium
Matheran,Raigad,December,Winter,Yes,Pleasant,High,Families,Yes,Medium,Low,Medium
Daulatabad Fort,Aurangabad,June,Monsoon,No,Humid,Low,Students,Yes,Low,Low,Low
Pratapgad Fort,Satara,December,Winter,No,Pleasant,High,Foreign Tourists,No,Low,Low,Low
Elephanta Caves,Mumbai,April,Summer,No,Warm,Low,Foreign Tourists,Yes,High,Low,Low
Trimbakeshwar Temple,Nashik,April,Summer,Yes,Hot,High,Students,No,High,High,Low
Bhimashankar Temple,Pune,August,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,High,High
Pratapgad Fort,Satara,February,Winter,No,Pleasant,Medium,Couples,Yes,Low,Low,Medium
Ellora Caves,Aurangabad,January,Winter,No,Pleasant,Medium,Solo Travelers,Yes,High,Low,Low
Ellora Caves,Aurangabad,August,Monsoon,Yes,Humid,Medium,Families,Yes,Medium,Low,Low
Gateway of India,Mumbai,January,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,Medium
Khandala,Pune,July,Monsoon,No,Humid,High,Foreign Tourists,No,Medium,High,Medium
Tarkarli Beach,Sindhudurg,March,Summer,No,Humid,High,Couples,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,December,Winter,Yes,Cool,High,Couples,No,Medium,Low,Low
Lonavala,Pune,January,Winter,No,Cool,Medium,Students,No,Low,Low,High
Trimbakeshwar Temple,Nashik,February,Winter,No,Cool,Medium,Solo Travelers,No,High,High,Medium
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Warm,Medium,Families,No,High,High,Medium
Lonavala,Pune,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,High
Shirdi,Ahmednagar,August,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,Low
Aga Khan Palace,Pune,July,Monsoon,Yes,Humid,Medium,Solo Travelers,Yes,Medium,Medium,High
Aga Khan Palace,Pune,February,Winter,No,Cool,High,Students,No,Low,Low,Medium
Lonavala,Pune,January,Winter,No,Cool,Low,Foreign Tourists,No,Low,Low,High
Elephanta Caves,Mumbai,March,Summer,Yes,Hot,Low,Families,Yes,High,Medium,High
Mahabaleshwar,Satara,April,Summer,Yes,Hot,Medium,Foreign Tourists,Yes,High,Low,High
Ellora Caves,Aurangabad,April,Summer,No,Hot,Low,Solo Travelers,Yes,Medium,Medium,Low
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Cool,High,Solo Travelers,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,June,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,High
Lonavala,Pune,September,Monsoon,No,Humid,High,Students,No,Low,Low,High
Daulatabad Fort,Aurangabad,December,Winter,No,Pleasant,High,Solo Travelers,No,High,Low,Medium
Matheran,Raigad,August,Monsoon,No,Humid,High,Families,Yes,Low,Low,Medium
Panchgani,Satara,July,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Low
Mahabaleshwar,Satara,February,Winter,No,Pleasant,High,Couples,Yes,Low,Low,Low
Panchgani,Satara,March,Summer,No,Humid,Low,Families,No,Low,Low,High
Khandala,Pune,June,Monsoon,Yes,Humid,High,Foreign Tourists,No,Low,High,Medium
Kaas Plateau,Satara,January,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Medium
Khandala,Pune,June,Monsoon,No,Rainy,High,Foreign Tourists,No,High,Low,Medium
Pratapgad Fort,Satara,April,Summer,No,Warm,Low,Students,Yes,Medium,Low,Low
Pratapgad Fort,Satara,February,Winter,No,Pleasant,Medium,Students,No,Low,Low,Low
Gateway of India,Mumbai,June,Monsoon,Yes,Humid,High,Solo Travelers,No,Medium,Low,Low
Lonavala,Pune,August,Monsoon,Yes,Humid,High,Solo Travelers,No,Low,Low,Medium
Panchgani,Satara,October,Post-Monsoon,Yes,Clear,Low,Students,No,Medium,Low,Low
Kaas Plateau,Satara,March,Summer,Yes,Warm,Medium,Students,No,High,High,High
Elephanta Caves,Mumbai,December,Winter,Yes,Pleasant,High,Students,Yes,Medium,Low,Low
Matheran,Raigad,May,Summer,Yes,Humid,Medium,Students,No,High,High,High
Tarkarli Beach,Sindhudurg,December,Winter,No,Pleasant,Medium,Students,Yes,Low,Low,Low
Panchgani,Satara,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,Low,Low
Khandala,Pune,May,Summer,No,Warm,High,Solo Travelers,No,Medium,Low,High
Elephanta Caves,Mumbai,December,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,High
Pratapgad Fort,Satara,February,Winter,No,Pleasant,Medium,Students,No,High,Low,High
Elephanta Caves,Mumbai,October,Post-Monsoon,No,Clear,Medium,Couples,Yes,Low,Low,High
Daulatabad Fort,Aurangabad,July,Monsoon,No,Humid,Low,Foreign Tourists,Yes,Low,Low,Low
Ajanta Caves,Aurangabad,February,Winter,No,Pleasant,Low,Families,Yes,Low,Low,Low
Matheran,Raigad,April,Summer,No,Humid,Low,Solo Travelers,No,Low,Low,High
Trimbakeshwar Temple,Nashik,February,Winter,No,Cool,Medium,Students,No,Low,High,Low
Aga Khan Palace,Pune,July,Monsoon,Yes,Rainy,High,Solo Travelers,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,June,Monsoon,No,Humid,Low,Solo Travelers,No,Low,High,Low
Matheran,Raigad,August,Monsoon,No,Humid,Low,Families,No,Medium,Low,Low
Bhimashankar Temple,Pune,May,Summer,Yes,Humid,Medium,Couples,No,High,High,High
Sindhudurg Fort,Sindhudurg,January,Winter,Yes,Cool,High,Couples,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,August,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Elephanta Caves,Mumbai,March,Summer,No,Humid,Low,Foreign Tourists,Yes,Medium,Low,Low
Bhimashankar Temple,Pune,April,Summer,Yes,Warm,Medium,Students,No,High,High,Low
Bhimashankar Temple,Pune,June,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,High,Low
Matheran,Raigad,July,Monsoon,No,Humid,Low,Families,No,Low,Low,Medium
Pratapgad Fort,Satara,November,Post-Monsoon,No,Clear,Medium,Students,No,Low,Low,High
Tarkarli Beach,Sindhudurg,December,Winter,Yes,Cool,High,Families,No,Medium,Low,Medium
Elephanta Caves,Mumbai,December,Winter,No,Pleasant,High,Couples,Yes,High,Low,Low
Raigad Fort,Raigad,May,Summer,No,Humid,Low,Families,No,High,Low,High
Panchgani,Satara,March,Summer,Yes,Warm,Medium,Families,No,High,Low,High
Shirdi,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,High,Low
Pratapgad Fort,Satara,May,Summer,Yes,Humid,Medium,Students,No,High,Low,High
Elephanta Caves,Mumbai,May,Summer,Yes,Humid,Medium,Foreign Tourists,Yes,High,Low,High
Khandala,Pune,November,Post-Monsoon,Yes,Pleasant,High,Couples,Yes,Low,Low,Medium
Elephanta Caves,Mumbai,May,Summer,Yes,Warm,Medium,Foreign Tourists,Yes,High,Low,High
Khandala,Pune,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,High
Bhimashankar Temple,Pune,March,Summer,No,Warm,Low,Solo Travelers,No,Medium,High,Low
Raigad Fort,Raigad,April,Summer,Yes,Hot,Medium,Families,No,High,Low,Low
Aga Khan Palace,Pune,April,Summer,Yes,Humid,Medium,Solo Travelers,Yes,High,Low,Medium
Daulatabad Fort,Aurangabad,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Shirdi,Ahmednagar,December,Winter,Yes,Cool,High,Couples,No,Medium,High,Medium
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Couples,No,Low,Medium,Medium
Khandala,Pune,August,Monsoon,No,Humid,High,Families,No,Low,Low,High
Matheran,Raigad,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,Medium
Matheran,Raigad,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,Low
Panchgani,Satara,October,Post-Monsoon,Yes,Pleasant,High,Students,No,High,Low,Low
Ellora Caves,Aurangabad,July,Monsoon,No,Rainy,Low,Solo Travelers,Yes,Low,Low,Medium
Kaas Plateau,Satara,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Medium
Ellora Caves,Aurangabad,September,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Panchgani,Satara,July,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Humid,Medium,Students,Yes,Medium,High,Medium
Daulatabad Fort,Aurangabad,August,Monsoon,No,Rainy,High,Students,No,Medium,Low,Low
Matheran,Raigad,April,Summer,No,Hot,Low,Students,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,December,Winter,No,Cool,Medium,Solo Travelers,No,Low,High,Medium
Shirdi,Ahmednagar,July,Monsoon,No,Humid,Low,Couples,No,Low,High,High
Bhimashankar Temple,Pune,June,Monsoon,Yes,Rainy,Medium,Families,No,Medium,High,Medium
Matheran,Raigad,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,Low,Low
Elephanta Caves,Mumbai,May,Summer,No,Warm,Low,Students,Yes,Medium,Low,High
Matheran,Raigad,August,Monsoon,Yes,Rainy,Medium,Families,Yes,Medium,Low,High
Panchgani,Satara,March,Summer,Yes,Humid,High,Solo Travelers,No,Low,Low,Medium
Bhimashankar Temple,Pune,January,Winter,Yes,Pleasant,High,Families,No,Medium,Low,Low
Panchgani,Satara,March,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,Medium
Khandala,Pune,February,Winter,No,Pleasant,Medium,Families,No,Low,Low,Low
Ellora Caves,Aurangabad,February,Winter,No,Cool,Medium,Couples,Yes,Low,High,Medium
Elephanta Caves,Mumbai,October,Post-Monsoon,Yes,Clear,High,Foreign Tourists,Yes,Medium,Low,High
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Couples,Yes,Low,Medium,High
Shirdi,Ahmednagar,March,Summer,Yes,Warm,Medium,Students,No,High,High,Low
Daulatabad Fort,Aurangabad,September,Monsoon,No,Humid,Medium,Families,No,Low,Medium,Low
Mahabaleshwar,Satara,August,Monsoon,No,Humid,High,Families,No,Low,Low,Low
Shirdi,Ahmednagar,April,Summer,Yes,Warm,High,Foreign Tourists,No,High,High,Medium
Shani Shingnapur,Ahmednagar,February,Winter,Yes,Cool,High,Couples,Yes,Medium,High,Medium
Matheran,Raigad,September,Monsoon,No,Rainy,High,Foreign Tourists,No,Low,Medium,Medium
Khandala,Pune,February,Winter,Yes,Pleasant,High,Couples,Yes,Medium,Low,High
Daulatabad Fort,Aurangabad,March,Summer,No,Hot,Low,Couples,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,April,Summer,No,Warm,Medium,Couples,No,Low,Low,Medium
Panchgani,Satara,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Shirdi,Ahmednagar,December,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,High,High
Kaas Plateau,Satara,April,Summer,Yes,Humid,Medium,Students,No,High,Low,Medium
Shirdi,Ahmednagar,December,Winter,Yes,Pleasant,High,Students,No,Medium,High,Medium
Trimbakeshwar Temple,Nashik,December,Winter,No,Pleasant,Medium,Solo Travelers,No,Medium,High,High
Lonavala,Pune,December,Winter,Yes,Cool,Medium,Solo Travelers,No,Medium,Low,Low
Khandala,Pune,June,Monsoon,No,Rainy,Medium,Couples,No,Low,Low,Medium
Khandala,Pune,August,Monsoon,Yes,Rainy,High,Families,No,High,Low,Low
Trimbakeshwar Temple,Nashik,June,Monsoon,No,Rainy,Low,Couples,No,Low,High,Low
Pratapgad Fort,Satara,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Medium,Low
Gateway of India,Mumbai,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Low
Panchgani,Satara,July,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Mahabaleshwar,Satara,December,Winter,Yes,Cool,High,Couples,No,Medium,Low,High
Mahabaleshwar,Satara,November,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Medium
Pratapgad Fort,Satara,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,April,Summer,No,Hot,Medium,Solo Travelers,No,Medium,High,Medium
Panchgani,Satara,March,Summer,No,Humid,Low,Students,No,Medium,Low,Medium
Shirdi,Ahmednagar,March,Summer,Yes,Warm,Medium,Students,No,High,Low,High
Khandala,Pune,September,Monsoon,No,Rainy,High,Families,No,Low,Low,Low
Ajanta Caves,Aurangabad,April,Summer,No,Humid,High,Couples,Yes,Medium,Low,Low
Aga Khan Palace,Pune,February,Winter,Yes,Cool,High,Couples,Yes,Medium,Low,Low
Raigad Fort,Raigad,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Medium
Lonavala,Pune,February,Winter,No,Pleasant,Medium,Solo Travelers,No,High,Low,Low
Panchgani,Satara,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Low
Matheran,Raigad,March,Summer,No,Humid,Low,Families,No,Medium,Low,High
Panchgani,Satara,January,Winter,No,Cool,Medium,Couples,No,High,Low,Medium
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Medium,Medium
Bhimashankar Temple,Pune,June,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Khandala,Pune,April,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,High
Kaas Plateau,Satara,August,Monsoon,No,Humid,Low,Couples,Yes,Low,Medium,High
Panchgani,Satara,April,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,Medium
Daulatabad Fort,Aurangabad,June,Monsoon,Yes,Rainy,Low,Families,No,Medium,Low,High
Raigad Fort,Raigad,August,Monsoon,Yes,Rainy,High,Couples,Yes,Medium,Low,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Rainy,Medium,Couples,No,High,Low,High
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Couples,No,Medium,High,Low
Pratapgad Fort,Satara,April,Summer,Yes,Warm,Medium,Foreign Tourists,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Humid,Medium,Families,No,High,Low,Low
Shirdi,Ahmednagar,April,Summer,Yes,Hot,Medium,Students,No,High,Medium,Medium
Tarkarli Beach,Sindhudurg,February,Winter,Yes,Cool,High,Couples,No,Medium,Medium,High
Ajanta Caves,Aurangabad,October,Post-Monsoon,Yes,Clear,Medium,Solo Travelers,Yes,High,Low,Medium
